trial,cars,stall,tick,score
1,200,121,2,69.75
1,200,132,3,57.84
1,200,117,4,53.75
1,200,116,5,51.4
1,200,116,6,49.84
1,200,127,7,47.93
1,200,130,8,46.31
1,200,124,9,45.39
1,200,129,10,44.4
1,200,134,11,43.37
1,200,121,12,43.04
1,200,133,13,42.31
1,200,123,14,42.03
1,200,132,15,41.5
1,200,132,16,41.03
1,200,134,17,40.56
1,200,111,18,40.78
1,200,127,19,40.55
1,200,133,20,40.2
1,200,116,21,40.28
1,200,119,22,40.3
1,200,121,23,40.26
1,200,109,24,40.48
1,200,102,25,40.82
1,200,117,26,40.84
1,200,111,27,40.98
1,200,116,28,41.02
1,200,124,29,40.91
1,200,113,30,41.0
1,200,115,31,41.05
1,200,101,32,41.31
1,200,100,33,41.58
1,200,109,34,41.69
1,200,112,35,41.76
1,200,108,36,41.88
1,200,121,37,41.81
1,200,109,38,41.91
1,200,107,39,42.02
1,200,111,40,42.09
1,200,122,41,42.01
1,200,113,42,42.05
1,200,108,43,42.14
1,200,114,44,42.16
1,200,112,45,42.2
1,200,117,46,42.19
1,200,109,47,42.26
1,200,103,48,42.38
1,200,111,49,42.43
1,200,124,50,42.34
1,200,120,51,42.3
1,200,110,52,42.34
1,200,115,53,42.35
1,200,111,54,42.39
1,200,109,55,42.45
1,200,99,56,42.59
1,200,109,57,42.64
1,200,99,58,42.77
1,200,103,59,42.88
1,200,103,60,42.97
1,200,117,61,42.95
1,200,104,62,43.02
1,200,116,63,43.01
1,200,109,64,43.05
1,200,139,65,42.85
1,200,102,66,42.95
1,200,110,67,42.98
1,200,111,68,43.0
1,200,127,69,42.91
1,200,115,70,42.9
1,200,117,71,42.88
1,200,115,72,42.88
1,200,102,73,42.96
1,200,119,74,42.92
1,200,117,75,42.91
1,200,110,76,42.94
1,200,123,77,42.88
1,200,119,78,42.84
1,200,120,79,42.81
1,200,116,80,42.8
1,200,121,81,42.76
1,200,113,82,42.77
1,200,105,83,42.83
1,200,103,84,42.9
1,200,110,85,42.92
1,200,106,86,42.97
1,200,125,87,42.9
1,200,112,88,42.91
1,200,120,89,42.88
1,200,91,90,43.01
1,200,114,91,43.01
1,200,104,92,43.06
1,200,126,93,43.0
1,200,131,94,42.91
1,200,124,95,42.86
1,200,120,96,42.83
1,200,122,97,42.79
1,200,113,98,42.8
1,200,122,99,42.76
1,200,129,100,42.69
1,200,113,101,42.7
1,200,115,102,42.69
1,200,109,103,42.72
1,200,117,104,42.7
1,200,113,105,42.72
1,200,112,106,42.73
1,200,109,107,42.75
1,200,100,108,42.82
1,200,117,109,42.8
1,200,107,110,42.84
1,200,119,111,42.82
1,200,111,112,42.84
1,200,135,113,42.74
1,200,114,114,42.74
1,200,123,115,42.71
1,200,113,116,42.72
1,200,116,117,42.71
1,200,126,118,42.66
1,200,112,119,42.67
1,200,113,120,42.68
1,200,116,121,42.67
1,200,115,122,42.67
1,200,129,123,42.62
1,200,115,124,42.62
1,200,125,125,42.57
1,200,125,126,42.53
1,200,115,127,42.53
1,200,110,128,42.55
1,200,107,129,42.58
1,200,113,130,42.59
1,200,121,131,42.56
1,200,109,132,42.59
1,200,116,133,42.59
1,200,116,134,42.58
1,200,113,135,42.59
1,200,120,136,42.56
1,200,117,137,42.56
1,200,102,138,42.6
1,200,103,139,42.65
1,200,102,140,42.7
1,200,107,141,42.72
1,200,121,142,42.7
1,200,127,143,42.66
1,200,105,144,42.69
1,200,100,145,42.74
1,200,112,146,42.74
1,200,115,147,42.74
1,200,105,148,42.77
1,200,115,149,42.77
1,200,117,150,42.77
1,200,113,151,42.77
1,200,104,152,42.8
1,200,111,153,42.81
1,200,121,154,42.8
1,200,117,155,42.78
1,200,112,156,42.8
1,200,113,157,42.8
1,200,110,158,42.81
1,200,116,159,42.81
1,200,112,160,42.81
1,200,119,161,42.8
1,200,114,162,42.8
1,200,118,163,42.79
1,200,124,164,42.76
1,200,131,165,42.71
1,200,108,166,42.73
1,200,108,167,42.75
1,200,101,168,42.79
1,200,123,169,42.77
1,200,110,170,42.78
1,200,116,171,42.77
1,200,110,172,42.79
1,200,128,173,42.75
1,200,111,174,42.76
1,200,131,175,42.71
1,200,131,176,42.66
1,200,113,177,42.67
1,200,111,178,42.68
1,200,115,179,42.68
1,200,118,180,42.67
1,200,119,181,42.66
1,200,105,182,42.69
1,200,97,183,42.73
1,200,98,184,42.77
1,200,116,185,42.77
1,200,111,186,42.78
1,200,123,187,42.76
1,200,115,188,42.76
1,200,126,189,42.73
1,200,107,190,42.74
1,200,119,191,42.73
1,200,110,192,42.74
1,200,120,193,42.73
1,200,126,194,42.7
1,200,128,195,42.67
1,200,104,196,42.7
1,200,115,197,42.7
1,200,108,198,42.71
1,200,130,199,42.67
1,200,117,200,42.66
1,200,121,201,42.65
1,200,113,202,42.66
1,200,107,203,42.67
1,200,121,204,42.66
1,200,110,205,42.67
1,200,113,206,42.67
1,200,121,207,42.66
1,200,116,208,42.66
1,200,126,209,42.63
1,200,128,210,42.6
1,200,116,211,42.59
1,200,120,212,42.59
1,200,124,213,42.56
1,200,123,214,42.54
1,200,133,215,42.5
1,200,105,216,42.52
1,200,111,217,42.53
1,200,110,218,42.55
1,200,105,219,42.56
1,200,113,220,42.57
1,200,109,221,42.59
1,200,109,222,42.59
1,200,109,223,42.61
1,200,120,224,42.6
1,200,112,225,42.6
1,200,110,226,42.62
1,200,127,227,42.59
1,200,117,228,42.59
1,200,109,229,42.59
1,200,99,230,42.63
1,200,105,231,42.65
1,200,111,232,42.66
1,200,112,233,42.66
1,200,108,234,42.68
1,200,125,235,42.66
1,200,104,236,42.68
1,200,115,237,42.68
1,200,115,238,42.68
1,200,118,239,42.67
1,200,112,240,42.67
1,200,120,241,42.66
1,200,114,242,42.66
1,200,115,243,42.66
1,200,127,244,42.64
1,200,129,245,42.61
1,200,123,246,42.59
1,200,119,247,42.59
1,200,122,248,42.58
1,200,115,249,42.57
1,200,107,250,42.59
1,200,131,251,42.55
1,200,119,252,42.55
1,200,115,253,42.55
1,200,105,254,42.56
1,200,123,255,42.55
1,200,109,256,42.56
1,200,121,257,42.55
1,200,119,258,42.55
1,200,131,259,42.51
1,200,111,260,42.52
1,200,112,261,42.52
1,200,114,262,42.52
1,200,111,263,42.53
1,200,102,264,42.56
1,200,114,265,42.56
1,200,111,266,42.57
1,200,133,267,42.53
1,200,115,268,42.53
1,200,123,269,42.52
1,200,96,270,42.55
1,200,99,271,42.59
1,200,98,272,42.62
1,200,113,273,42.62
1,200,112,274,42.62
1,200,115,275,42.62
1,200,106,276,42.64
1,200,122,277,42.63
1,200,109,278,42.63
1,200,113,279,42.64
1,200,121,280,42.63
1,200,125,281,42.61
1,200,114,282,42.61
1,200,120,283,42.6
1,200,99,284,42.63
1,200,119,285,42.62
1,200,111,286,42.63
1,200,118,287,42.62
1,200,112,288,42.63
1,200,129,289,42.6
1,200,112,290,42.6
1,200,108,291,42.62
1,200,100,292,42.65
1,200,117,293,42.64
1,200,113,294,42.65
1,200,112,295,42.65
1,200,114,296,42.65
1,200,129,297,42.63
1,200,112,298,42.63
1,200,127,299,42.61
1,200,119,300,42.6
1,200,128,301,42.58
1,200,119,302,42.58
1,200,116,303,42.57
1,200,112,304,42.58
1,200,125,305,42.56
1,200,113,306,42.56
1,200,127,307,42.54
1,200,106,308,42.55
1,200,105,309,42.58
1,200,113,310,42.58
1,200,119,311,42.57
1,200,104,312,42.59
1,200,131,313,42.56
1,200,133,314,42.53
1,200,116,315,42.53
1,200,112,316,42.53
1,200,116,317,42.53
1,200,121,318,42.52
1,200,114,319,42.52
1,200,111,320,42.53
1,200,106,321,42.55
1,200,109,322,42.55
1,200,106,323,42.57
1,200,107,324,42.58
1,200,130,325,42.55
1,200,119,326,42.55
1,200,127,327,42.53
1,200,122,328,42.52
1,200,122,329,42.51
1,200,106,330,42.52
1,200,117,331,42.52
1,200,96,332,42.55
1,200,110,333,42.55
1,200,125,334,42.54
1,200,125,335,42.52
1,200,119,336,42.52
1,200,120,337,42.52
1,200,112,338,42.52
1,200,123,339,42.51
1,200,115,340,42.51
1,200,99,341,42.53
1,200,98,342,42.55
1,200,111,343,42.56
1,200,108,344,42.57
1,200,121,345,42.56
1,200,124,346,42.55
1,200,105,347,42.56
1,200,116,348,42.56
1,200,120,349,42.55
1,200,118,350,42.55
1,200,127,351,42.53
1,200,119,352,42.52
1,200,138,353,42.49
1,200,118,354,42.49
1,200,126,355,42.48
1,200,111,356,42.48
1,200,114,357,42.48
1,200,123,358,42.47
1,200,117,359,42.47
1,200,122,360,42.45
1,200,120,361,42.45
1,200,122,362,42.44
1,200,108,363,42.45
1,200,116,364,42.45
1,200,119,365,42.45
1,200,120,366,42.44
1,200,122,367,42.43
1,200,110,368,42.44
1,200,119,369,42.43
1,200,112,370,42.44
1,200,112,371,42.44
1,200,112,372,42.44
1,200,130,373,42.42
1,200,121,374,42.41
1,200,131,375,42.4
1,200,124,376,42.38
1,200,121,377,42.38
1,200,100,378,42.4
1,200,105,379,42.41
1,200,93,380,42.44
1,200,124,381,42.42
1,200,116,382,42.42
1,200,120,383,42.42
1,200,103,384,42.44
1,200,105,385,42.45
1,200,115,386,42.45
1,200,117,387,42.45
1,200,125,388,42.43
1,200,118,389,42.43
1,200,117,390,42.42
1,200,126,391,42.41
1,200,111,392,42.41
1,200,117,393,42.41
1,200,105,394,42.43
1,200,112,395,42.43
1,200,113,396,42.44
1,200,124,397,42.42
1,200,109,398,42.43
1,200,111,399,42.44
1,200,115,400,42.44
1,200,121,401,42.43
1,200,116,402,42.43
1,200,110,403,42.44
1,200,118,404,42.43
1,200,124,405,42.42
1,200,121,406,42.41
1,200,103,407,42.43
1,200,120,408,42.42
1,200,120,409,42.41
1,200,114,410,42.41
1,200,124,411,42.41
1,200,118,412,42.41
1,200,116,413,42.4
1,200,115,414,42.4
1,200,111,415,42.41
1,200,105,416,42.42
1,200,115,417,42.42
1,200,130,418,42.4
1,200,133,419,42.38
1,200,120,420,42.38
1,200,130,421,42.35
1,200,118,422,42.35
1,200,113,423,42.35
1,200,111,424,42.36
1,200,123,425,42.35
1,200,109,426,42.36
1,200,111,427,42.37
1,200,112,428,42.37
1,200,115,429,42.37
1,200,105,430,42.38
1,200,103,431,42.4
1,200,110,432,42.4
1,200,108,433,42.41
1,200,111,434,42.41
1,200,115,435,42.41
1,200,126,436,42.41
1,200,122,437,42.4
1,200,114,438,42.4
1,200,114,439,42.4
1,200,122,440,42.39
1,200,128,441,42.38
1,200,116,442,42.38
1,200,125,443,42.37
1,200,120,444,42.36
1,200,122,445,42.35
1,200,125,446,42.34
1,200,108,447,42.35
1,200,94,448,42.37
1,200,114,449,42.38
1,200,110,450,42.38
1,200,115,451,42.38
1,200,99,452,42.4
1,200,109,453,42.41
1,200,101,454,42.42
1,200,116,455,42.42
1,200,111,456,42.42
1,200,108,457,42.43
1,200,94,458,42.45
1,200,107,459,42.47
1,200,111,460,42.47
1,200,116,461,42.47
1,200,110,462,42.47
1,200,106,463,42.48
1,200,107,464,42.49
1,200,99,465,42.51
1,200,97,466,42.52
1,200,107,467,42.53
1,200,100,468,42.55
1,200,105,469,42.56
1,200,111,470,42.56
1,200,116,471,42.56
1,200,110,472,42.57
1,200,119,473,42.56
1,200,115,474,42.56
1,200,127,475,42.55
1,200,120,476,42.55
1,200,124,477,42.54
1,200,93,478,42.56
1,200,110,479,42.56
1,200,99,480,42.58
1,200,104,481,42.59
1,200,107,482,42.6
1,200,109,483,42.61
1,200,122,484,42.6
1,200,128,485,42.59
1,200,110,486,42.59
1,200,120,487,42.59
1,200,122,488,42.58
1,200,128,489,42.56
1,200,115,490,42.56
1,200,131,491,42.55
1,200,133,492,42.53
1,200,120,493,42.52
1,200,124,494,42.52
1,200,131,495,42.5
1,200,103,496,42.51
1,200,110,497,42.52
1,200,108,498,42.52
1,200,117,499,42.52
1,200,116,500,42.52
1,200,124,501,42.51
1,200,109,502,42.52
1,200,109,503,42.52
1,200,112,504,42.52
1,200,124,505,42.52
1,200,129,506,42.51
1,200,129,507,42.49
1,200,121,508,42.48
1,200,109,509,42.49
1,200,115,510,42.49
1,200,129,511,42.48
1,200,120,512,42.47
1,200,108,513,42.48
1,200,111,514,42.48
1,200,107,515,42.49
1,200,108,516,42.49
1,200,106,517,42.51
1,200,110,518,42.51
1,200,120,519,42.51
1,200,120,520,42.5
1,200,131,521,42.48
1,200,118,522,42.48
1,200,130,523,42.47
1,200,106,524,42.48
1,200,131,525,42.46
1,200,128,526,42.45
1,200,137,527,42.43
1,200,128,528,42.41
1,200,119,529,42.41
1,200,121,530,42.41
1,200,123,531,42.4
1,200,118,532,42.4
1,200,124,533,42.39
1,200,124,534,42.38
1,200,130,535,42.37
1,200,122,536,42.36
1,200,122,537,42.35
1,200,123,538,42.35
1,200,129,539,42.34
1,200,123,540,42.33
1,200,131,541,42.31
1,200,126,542,42.3
1,200,126,543,42.3
1,200,130,544,42.28
1,200,117,545,42.28
1,200,120,546,42.27
1,200,107,547,42.28
1,200,117,548,42.28
1,200,115,549,42.28
1,200,113,550,42.28
1,200,113,551,42.28
1,200,126,552,42.27
1,200,134,553,42.26
1,200,125,554,42.25
1,200,123,555,42.24
1,200,114,556,42.24
1,200,120,557,42.24
1,200,115,558,42.24
1,200,109,559,42.25
1,200,111,560,42.25
1,200,113,561,42.26
1,200,104,562,42.27
1,200,131,563,42.25
1,200,118,564,42.25
1,200,122,565,42.24
1,200,103,566,42.26
1,200,107,567,42.26
1,200,132,568,42.24
1,200,119,569,42.24
1,200,106,570,42.25
1,200,90,571,42.27
1,200,115,572,42.27
1,200,120,573,42.27
1,200,110,574,42.27
1,200,113,575,42.27
1,200,118,576,42.27
1,200,127,577,42.27
1,200,107,578,42.27
1,200,110,579,42.27
1,200,109,580,42.28
1,200,118,581,42.28
1,200,118,582,42.28
1,200,119,583,42.27
1,200,120,584,42.27
1,200,118,585,42.27
1,200,113,586,42.27
1,200,109,587,42.27
1,200,120,588,42.27
1,200,121,589,42.27
1,200,123,590,42.26
1,200,130,591,42.25
1,200,124,592,42.24
1,200,132,593,42.23
1,200,118,594,42.23
1,200,107,595,42.23
1,200,115,596,42.23
1,200,116,597,42.23
1,200,113,598,42.23
1,200,119,599,42.23
1,200,117,600,42.23
1,200,118,601,42.23
1,200,113,602,42.23
1,200,109,603,42.23
1,200,107,604,42.24
1,200,111,605,42.25
1,200,118,606,42.24
1,200,113,607,42.25
1,200,118,608,42.24
1,200,117,609,42.24
1,200,124,610,42.24
1,200,111,611,42.24
1,200,107,612,42.25
1,200,110,613,42.26
1,200,115,614,42.26
1,200,114,615,42.26
1,200,119,616,42.25
1,200,120,617,42.25
1,200,124,618,42.24
1,200,118,619,42.24
1,200,112,620,42.24
1,200,116,621,42.24
1,200,112,622,42.24
1,200,120,623,42.24
1,200,122,624,42.23
1,200,121,625,42.23
1,200,124,626,42.23
1,200,133,627,42.21
1,200,120,628,42.2
1,200,124,629,42.2
1,200,100,630,42.22
1,200,119,631,42.21
1,200,106,632,42.22
1,200,117,633,42.22
1,200,107,634,42.23
1,200,101,635,42.23
1,200,108,636,42.24
1,200,111,637,42.24
1,200,118,638,42.24
1,200,114,639,42.24
1,200,107,640,42.25
1,200,119,641,42.24
1,200,121,642,42.24
1,200,128,643,42.23
1,200,108,644,42.24
1,200,134,645,42.23
1,200,129,646,42.22
1,200,137,647,42.2
1,200,103,648,42.21
1,200,108,649,42.22
1,200,115,650,42.22
1,200,123,651,42.21
1,200,110,652,42.21
1,200,108,653,42.22
1,200,104,654,42.23
1,200,116,655,42.23
1,200,114,656,42.23
1,200,115,657,42.23
1,200,127,658,42.22
1,200,120,659,42.22
1,200,112,660,42.22
1,200,117,661,42.22
1,200,104,662,42.23
1,200,100,663,42.24
1,200,120,664,42.23
1,200,116,665,42.23
1,200,114,666,42.23
1,200,121,667,42.23
1,200,129,668,42.22
1,200,128,669,42.21
1,200,113,670,42.22
1,200,118,671,42.21
1,200,134,672,42.2
1,200,119,673,42.2
1,200,117,674,42.2
1,200,127,675,42.19
1,200,108,676,42.19
1,200,105,677,42.2
1,200,119,678,42.2
1,200,119,679,42.2
1,200,108,680,42.2
1,200,123,681,42.2
1,200,122,682,42.19
1,200,111,683,42.2
1,200,110,684,42.2
1,200,117,685,42.2
1,200,115,686,42.2
1,200,117,687,42.2
1,200,118,688,42.2
1,200,111,689,42.2
1,200,108,690,42.2
1,200,116,691,42.2
1,200,105,692,42.21
1,200,124,693,42.2
1,200,133,694,42.19
1,200,129,695,42.19
1,200,127,696,42.17
1,200,125,697,42.17
1,200,111,698,42.17
1,200,120,699,42.17
1,200,109,700,42.17
1,200,101,701,42.19
1,200,116,702,42.19
1,200,119,703,42.18
1,200,111,704,42.19
1,200,122,705,42.18
1,200,119,706,42.17
1,200,120,707,42.17
1,200,119,708,42.17
1,200,129,709,42.16
1,200,117,710,42.16
1,200,113,711,42.16
1,200,111,712,42.16
1,200,112,713,42.17
1,200,116,714,42.17
1,200,124,715,42.16
1,200,128,716,42.16
1,200,104,717,42.16
1,200,127,718,42.16
1,200,124,719,42.15
1,200,126,720,42.14
1,200,135,721,42.13
1,200,129,722,42.12
1,200,129,723,42.11
1,200,108,724,42.12
1,200,108,725,42.12
1,200,107,726,42.13
1,200,120,727,42.13
1,200,111,728,42.13
1,200,113,729,42.13
1,200,119,730,42.13
1,200,122,731,42.12
1,200,110,732,42.13
1,200,126,733,42.12
1,200,118,734,42.12
1,200,135,735,42.1
1,200,124,736,42.1
1,200,138,737,42.09
1,200,110,738,42.09
1,200,103,739,42.09
1,200,96,740,42.11
1,200,111,741,42.12
1,200,115,742,42.12
1,200,115,743,42.12
1,200,119,744,42.11
1,200,123,745,42.1
1,200,121,746,42.1
1,200,120,747,42.1
1,200,107,748,42.1
1,200,120,749,42.1
1,200,111,750,42.1
1,200,124,751,42.1
1,200,119,752,42.1
1,200,123,753,42.09
1,200,121,754,42.09
1,200,119,755,42.09
1,200,106,756,42.09
1,200,110,757,42.1
1,200,120,758,42.09
1,200,129,759,42.09
1,200,122,760,42.09
1,200,121,761,42.08
1,200,111,762,42.09
1,200,115,763,42.09
1,200,122,764,42.08
1,200,129,765,42.07
1,200,122,766,42.07
1,200,120,767,42.06
1,200,120,768,42.06
1,200,118,769,42.06
1,200,107,770,42.06
1,200,115,771,42.06
1,200,117,772,42.06
1,200,122,773,42.06
1,200,114,774,42.06
1,200,118,775,42.06
1,200,121,776,42.06
1,200,115,777,42.06
1,200,101,778,42.07
1,200,121,779,42.06
1,200,129,780,42.06
1,200,125,781,42.05
1,200,117,782,42.05
1,200,113,783,42.05
1,200,121,784,42.05
1,200,115,785,42.05
1,200,108,786,42.05
1,200,111,787,42.06
1,200,109,788,42.06
1,200,114,789,42.06
1,200,117,790,42.06
1,200,115,791,42.06
1,200,115,792,42.06
1,200,110,793,42.07
1,200,122,794,42.06
1,200,121,795,42.06
1,200,115,796,42.06
1,200,123,797,42.05
1,200,109,798,42.06
1,200,110,799,42.06
1,200,100,800,42.08
1,200,112,801,42.08
1,200,119,802,42.08
1,200,128,803,42.07
1,200,100,804,42.08
1,200,101,805,42.09
1,200,105,806,42.09
1,200,108,807,42.1
1,200,108,808,42.1
1,200,107,809,42.11
1,200,117,810,42.11
1,200,112,811,42.11
1,200,122,812,42.1
1,200,132,813,42.09
1,200,134,814,42.09
1,200,129,815,42.08
1,200,109,816,42.08
1,200,127,817,42.08
1,200,108,818,42.08
1,200,104,819,42.09
1,200,117,820,42.09
1,200,114,821,42.09
1,200,111,822,42.09
1,200,108,823,42.09
1,200,110,824,42.1
1,200,109,825,42.1
1,200,117,826,42.1
1,200,124,827,42.09
1,200,115,828,42.09
1,200,128,829,42.09
1,200,124,830,42.09
1,200,122,831,42.08
1,200,123,832,42.08
1,200,124,833,42.07
1,200,107,834,42.08
1,200,126,835,42.07
1,200,113,836,42.08
1,200,118,837,42.07
1,200,113,838,42.08
1,200,115,839,42.08
1,200,99,840,42.09
1,200,117,841,42.09
1,200,126,842,42.08
1,200,99,843,42.09
1,200,109,844,42.09
1,200,110,845,42.09
1,200,108,846,42.1
1,200,113,847,42.1
1,200,114,848,42.1
1,200,126,849,42.09
1,200,130,850,42.09
1,200,122,851,42.09
1,200,124,852,42.08
1,200,143,853,42.06
1,200,122,854,42.06
1,200,128,855,42.05
1,200,122,856,42.05
1,200,111,857,42.05
1,200,119,858,42.05
1,200,125,859,42.05
1,200,124,860,42.04
1,200,130,861,42.03
1,200,123,862,42.03
1,200,132,863,42.02
1,200,133,864,42.01
1,200,134,865,42.0
1,200,127,866,41.99
1,200,122,867,41.99
1,200,120,868,41.98
1,200,122,869,41.98
1,200,130,870,41.98
1,200,137,871,41.97
1,200,114,872,41.97
1,200,117,873,41.97
1,200,116,874,41.97
1,200,110,875,41.97
1,200,130,876,41.96
1,200,129,877,41.95
1,200,102,878,41.96
1,200,103,879,41.97
1,200,123,880,41.97
1,200,117,881,41.97
1,200,128,882,41.95
1,200,131,883,41.95
1,200,117,884,41.95
1,200,111,885,41.95
1,200,104,886,41.95
1,200,117,887,41.95
1,200,125,888,41.95
1,200,122,889,41.95
1,200,132,890,41.94
1,200,129,891,41.93
1,200,127,892,41.92
1,200,111,893,41.93
1,200,124,894,41.92
1,200,121,895,41.92
1,200,108,896,41.92
1,200,92,897,41.94
1,200,112,898,41.94
1,200,106,899,41.95
1,200,111,900,41.95
1,200,123,901,41.95
1,200,109,902,41.95
1,200,125,903,41.95
1,200,116,904,41.95
1,200,130,905,41.94
1,200,122,906,41.94
1,200,131,907,41.92
1,200,117,908,41.92
1,200,116,909,41.92
1,200,112,910,41.93
1,200,124,911,41.92
1,200,114,912,41.92
1,200,112,913,41.92
1,200,120,914,41.92
1,200,128,915,41.92
1,200,113,916,41.92
1,200,121,917,41.92
1,200,116,918,41.92
1,200,130,919,41.91
1,200,120,920,41.91
1,200,119,921,41.91
1,200,107,922,41.91
1,200,121,923,41.91
1,200,125,924,41.91
1,200,124,925,41.9
1,200,110,926,41.91
